id Declarator,"ФИО депутата, автора законопроекта","Количество законопроектов, внесенных депутатом в указанный период","Количество внесенных законопроектов, подписанных президентом","Процент успешных законопроектов, %",Сумма дней прохождения всех законопроектов,Среднее количество дней прохождения законопроекта депутата-автора,Примечания,Служебное
150,Кулик Геннадий Васильевич,2,1,"50,00%",155,155,,
1173,Казакова Ольга Михайловна,4,1,"25,00%",219,219,,
12626,Левицкий Юрий Андреевич,4,1,"25,00%",219,219,,
32065,Толстой Петр Олегович,4,1,"25,00%",219,219,,
31765,Сазонов Дмитрий Валерьевич,4,1,"25,00%",431,431,,
15534,Авдеев Александр Александрович,4,0,"0,00%",0,0,,
600,Агаев Ваха Абуевич,9,0,"0,00%",0,0,,
12878,Адучиев Батор Канурович,0,0,"0,00%",0,0,,
23042,Азимов Рахим Азизбоевич,1,0,"0,00%",0,0,,
9,Алферов Жорес Иванович,13,0,"0,00%",0,0,,
14406,Альшевских Андрей Геннадьевич,2,0,"0,00%",0,0,,
116,Аникеев Григорий Викторович,0,0,"0,00%",0,0,,
8929,Антонова Лидия Николаевна,0,0,"0,00%",0,0,,
403,Арефьев Николай Васильевич,24,0,"0,00%",0,0,,
31760,Балыбердин Алексей Владимирович,1,0,"0,00%",0,0,,
120,Балыхин Григорий Артёмович,1,0,"0,00%",0,0,,
15180,Барышев Андрей Викторович,13,0,"0,00%",0,0,,
16199,Бахметьев Виталий Викторович,8,0,"0,00%",0,0,,
647,Белеков Иван Итулович,2,0,"0,00%",0,0,,
22043,Березуцкий Юрий Николаевич,2,0,"0,00%",0,0,,
17630,Бидонько Сергей Юрьевич,1,0,"0,00%",0,0,,
31874,Бикбаев Ильдар Зинурович,2,0,"0,00%",0,0,,
31877,Блоцкий Владимир Николаевич,14,0,"0,00%",0,0,,
13185,Боева Наталья Дмитриевна,5,0,"0,00%",0,0,,
15424,Боженов Сергей Андреевич,2,0,"0,00%",0,0,,
31879,Бокк Владимир Владимирович,1,0,"0,00%",0,0,,
13486,Бондарь Оксана Андреевна,5,0,"0,00%",0,0,,
